1, VC2, [(1723000, 200)], []
218, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
219, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
220, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
221, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
222, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
223, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
224, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
225, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
226, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
227, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
228, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
229, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
230, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
231, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
232, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
233, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
234, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
235, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
236, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
237, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
238, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
239, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
240, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
241, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
242, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
243, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
244, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
245, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
246, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
247, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
248, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
249, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
250, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
251, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
252, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
253, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
254, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
255, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
256, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
257, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
258, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
259, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
260, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
261, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
262, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
263, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
264, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
265, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
266, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
267, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
268, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
269, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
270, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
271, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
272, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
273, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
274, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
275, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
276, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
277, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
278, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
279, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
280, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
